0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
165,395,4672,14932,14843,14965,10142,10651,15003,231,10823,7736,14527,7650,15060,14846,14769,3139,5622,4762,14862
166,7056,14680,10815,10142,15003,14843,4672,10651,14965,14932,7820,15126,7586,7038,9395,14769,15060,7736,15137,7650
167,13573,13416,10742,6101,2992,10815,7056,18379,14351,14680,6175,11027,11721,4586,3188,2917,13371,9395,8633,7509
168,13058,7555,8626,7302,12691,1505,8552,12808,1164,18126,18080,15932,16750,17903,10912,12050,5196,1674,16709,9373
169,8654,13100,11780,1565,13006,12943,12041,13020,13023,12397,6147,5711,13158,12611,5552,13089,13055,1408,8578,1272
170,10850,9239,6645,6199,11262,6513,11607,9434,430,9384,446,9560,4840,11654,587,11714,11849,6571,124,461
171,2424,13058,7302,7405,8626,12691,8064,13031,1505,7434,7555,3856,8552,12808,13028,7335,12490,7858,4098,9937
172,4287,15320,9660,11971,8502,7610,6618,14081,9630,8569,14351,14066,14300,134,515,126,544,14308,15093,4144
173,9940,17637,10329,8920,12853,7751,7491,7727,14918,7858,7723,7335,12558,7310,9009,2864,5286,12967,13051,1612
174,11689,6569,14217,10868,14126,11203,5137,6517,7998,6562,10854,13371,9307,95,7775,14237,9328,7506,10394,12016
175,9384,11262,6199,6513,9239,9434,6645,11607,462,11935,11999,11831,10857,11562,10944,11820,11980,10194,2327,11924
176,14217,10868,14126,7658,9606,13872,648,14354,7674,11003,3204,14336,14306,13997,9328,14237,11005,10888,9082,7506
177,14126,14217,10868,7658,9606,13872,14336,14306,13997,14237,3204,9328,7674,7506,10196,10888,9082,11003,11005,14354
178,161,15668,9156,15362,10194,10834,10829,10509,15691,12091,12982,7551,8654,13100,9298,7574,7293,10912,11004,3129
179,7751,678,9593,3118,4087,15340,15251,7744,12091,1953,3595,7391,15146,10550,6130,10079,2612,3759,17960,92
180,10504,10194,14191,15791,7501,11002,18170,8832,6970,15534,13769,13356,18214,8569,7056,14680,10815,13862,14495,15052
181,3201,4314,3632,4302,3665,3121,3184,4386,4192,5785,5412,6009,5786,3541,3998,1671,5734,92,1790,3586
182,9940,10329,7751,14918,7723,14400,9718,14471,8985,15080,6154,8913,4265,3497,8872,9513,8796,4517,16489,15340
183,14932,14965,4672,10142,14843,15003,10651,14875,15060,14527,3139,15137,14462,14862,13594,4762,7736,10823,5622,7650
184,13100,8654,12397,1408,13020,10749,6147,1565,13006,12611,5711,8578,13158,13023,13055,5552,12943,12041,1272,13089
185,7751,9544,12091,7022,13136,10329,8539,9940,18599,16453,13954,14070,13238,9039,8832,11750,6051,16791,7744,15251
186,3184,6093,1788,6116,825,5415,2665,5419,4481,5669,3620,233,3615,49,2023,4526,3580,5211,4338,6582
187,6618,489,2407,11831,11971,4287,15320,291,5651,11271,9655,11153,8475,14351,12016,8443,925,11500,11279,6610
188,829,638,1509,11481,759,1558,534,6618,5229,16956,11541,4681,11461,1481,1061,9482,2700,1439,4672,14843
189,673,9400,12566,12932,1215,149,8654,13100,9217,7564,9387,14885,15270,8503,15185,4754,9367,16323,17860,14129
190,367,386,611,77,3603,15129,14450,15152,5023,7298,14462,5612,14751,8573,14843,4672,10651,14932,10142,14965
191,4287,15320,9660,11971,7610,14066,14351,14300,9630,6618,8569,8502,14081,5137,7711,10854,7829,14308,15093,4144
192,14843,10651,10142,14932,15003,4672,14965,10340,10599,14351,6189,15060,14862,5622,4762,7736,14846,14769,3139,14462
193,14351,4287,15320,15093,17688,4144,12890,5715,5720,8448,12012,9427,4387,9339,17965,18649,11971,9660,15901,17147
194,10651,14932,10142,15003,4672,14843,14965,14989,14680,7056,10815,7820,14853,4307,10823,15137,5622,14846,15060,14875
